"","DECIL","sueldo_min","sueldo_max","H","M","no_ID","TOTAL","prop_H","prop_M","prop_NO_ID"
"1","1",1870,4396,15413,9299,530,25242,0.610609301957056,0.368393946596942,0.0209967514460027
"2","2",4396,7341,12196,12403,643,25242,0.483162982331036,0.491363600348625,0.0254734173203391
"3","3",7341,7952,13413,11307,522,25242,0.531376277632517,0.447943903018778,0.0206798193487045
"4","4",7952,8676,15995,8747,500,25242,0.633666112035496,0.346525631883369,0.0198082560811346
"5","5",8676,10444,13650,11122,469,25241,0.540786815102413,0.440632304583812,0.0185808803137752
"6","6",10444,12534,12275,12435,531,25241,0.486311952775247,0.492650845846044,0.0210372013787092
"7","7",12534,14360,14061,10448,732,25241,0.557069846678024,0.413929717523078,0.0290004357988986
"8","8",14360,15806,18588,5922,731,25241,0.736420902499901,0.234618279782893,0.0289608177172061
"9","9",15806,21007,15085,9432,724,25241,0.597638762331128,0.373677746523513,0.0286834911453587
"10","10",21007,111178,12714,11707,820,25241,0.503704290638247,0.463808882373915,0.0324868269878372
