"","DESC_UNIDAD_RESPONSABLE","H","M","<NA>","total"
"1","Agencia de Atención Animal De La Ciudad De México",29,46,4,79
"2","Agencia de Protección Sanitaria",49,43,3,95
"3","Agencia Digital de Innovación Pública (ADIP)",349,392,21,762
"4","Alcaldía Álvaro Obregón",3657,2318,116,6091
"5","Alcaldía Azcapotzalco",2804,2046,113,4963
"6","Alcaldía Benito Juárez",3608,2204,140,5952
"7","Alcaldía Coyoacán",3890,2685,157,6732
"8","Alcaldía Cuajimalpa De Morelos",2217,1983,77,4277
"9","Alcaldía Cuauhtémoc",5319,3789,182,9290
"10","Alcaldía Gustavo A. Madero",5898,4358,195,10451
"11","Alcaldía Iztacalco",3047,2279,121,5447
"12","Alcaldía Iztapalapa",6825,5099,256,12180
"13","Alcaldía La Magdalena Contreras",2107,1637,69,3813
"14","Alcaldía Miguel Hidalgo",3253,1883,82,5218
"15","Alcaldía Milpa Alta",2137,1601,109,3847
"16","Alcaldía Tláhuac",2611,2325,101,5037
"17","Alcaldía Tlalpan",3043,2107,122,5272
"18","Alcaldía Venustiano Carranza",4618,3683,142,8443
"19","Alcaldía Xochimilco",3341,2191,154,5686
"20","Autoridad Del Centro Histórico",31,27,3,61
"21","Caja de previsión de la policía auxiliar",70,66,5,141
"22","Caja de previsión de la policía preventiva",21,12,3,36
"23","Caja de previsión para trabajadores a lista de raya",27,23,2,52
"24","Centro de Comando, Control, Cómputo, Comunicaciones y Contacto Ciudadano (C5)",236,266,15,517
"25","Comisión de Búsqueda de Personas de La Ciudad De México",3,5,1,9
"26","Consejería Jurídica y De Servicios Legales",2173,2484,126,4783
"27","Consejo de Evaluación Del Desarrollo Social",16,11,0,27
"28","Consejo Para Prevenir Y Eliminar La Discriminación",2,1,1,4
"29","Escuela de Administración Pública",10,10,0,20
"30","Fideicomiso Educación Garantizada",51,74,5,130
"31","Fideicomiso Museo De Arte Popular Mexicano",40,21,2,63
"32","Fideicomiso Museo Del Estanquillo",5,4,2,11
"33","Fideicomiso Para La Promoción Y Desarrollo Del Cine Mexicano",2,2,0,4
"34","Fideicomiso para la Reconstrucción Integral de la Ciudad de México",3,2,0,5
"35","Fiscalía General De Justicia",8733,6769,401,15903
"36","Fondo de desarrollo económico del distrito federal",5,4,0,9
"37","Fondo para la Atención y Apoyo a las Víctimas del Delito",15,19,3,37
"38","Heroico Cuerpo De Bomberos",1766,434,60,2260
"39","Instancia Ejecutora Del Sistema Integral De Derechos Humanos",9,12,1,22
"40","Instituto de Educación Media Superior",29,35,2,66
"41","Instituto De Estudios Superiores De La Ciudad De México ""Rosario Castellanos""",119,162,8,289
"42","Instituto de La Juventud",32,21,3,56
"43","Instituto de las Personas con discapacidad de La Ciudad De México",3,3,1,7
"44","Instituto de Verificación Administrativa",1,1,0,2
"45","Instituto del Deporte",100,112,4,216
"46","Instituto para la Atención y Prevención de las Adicciones en La Ciudad De México",37,30,2,69
"47","Jefatura de Gobierno",267,295,27,589
"48","Mecanismo de Protección Integral de Personas Defensoras de Derechos Humanos y Periodistas",5,9,3,17
"49","Órgano Regulador de Transporte",172,93,10,275
"50","Planta de Asfalto de la Ciudad De México",229,69,5,303
"51","Procuraduría Ambiental Y Del Ordenamiento Territorial",8,8,0,16
"52","Procuraduría Social",107,92,6,205
"53","Secretaría de Administración y Finanzas",3708,4053,229,7990
"54","Secretaría de Cultura",768,570,81,1419
"55","Secretaría de Desarrollo Económico",293,265,9,567
"56","Secretaría de Desarrollo Urbano y Vivienda",341,391,22,754
"57","Secretaría de Educación, Ciencia, Tecnología e Innovación",495,458,32,985
"58","Secretaría de Gestión Integral de Riesgos y Protección Civil",188,143,9,340
"59","Secretaría de Gobierno",4865,4320,225,9410
"60","Secretaría de Inclusión y Bienestar Social",1497,3458,153,5108
"61","Secretaria de la Contraloría General",339,398,20,757
"62","Secretaría de las Mujeres",85,612,22,719
"63","Secretaría de Movilidad",1040,670,37,1747
"64","Secretaría de Obras y Servicios",3117,2002,121,5240
"65","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes",61,66,9,136
"66","Secretaría de Salud",9987,14638,806,25431
"67","Secretaría de Seguridad Ciudadana",31290,12230,1235,44755
"68","Secretaría de Turismo",70,84,4,158
"69","Secretaría del Medio Ambiente",2196,1496,92,3784
"70","Secretaría del Trabajo y Fomento al Empleo",231,356,15,602
"71","Sistema de Aguas de La Ciudad De México",9407,2567,207,12181
"72","Sistema Público De Radiodifusión De La Ciudad De México",37,22,2,61
"73","Universidad de la Policía De La Ciudad De México",223,156,6,385
"74","Universidad de la Salud",23,22,1,46
